symbol,issuer,cuit,sector,currency,settlement,price,bid,ask,volume,spread_abs,spread_pct,years_to_maturity,maturity_date,liquidity_score,is_mapped
CRCJO,[CRC],,Sin mapear,ARS,2,9495.0,8100.0,9495.0,11205.0,1395.0,17.2222,1.8754,2028-05-16,73.29,False
RZABD,Rizobacter Argentina S.A.,30593174057,Agro - Biotech,USD,2,70.0,68.0,70.0,11164.3,2.0,2.9412,1.41,2027-11-28,76.04,True
MGCOD,Pampa Energía S.A.,30526552659,Energía - Electricidad,USD,1,106.8,106.8,109.35,10680.0,2.55,2.3876,8.46,2034-12-16,76.35,True
NPCCC,[NPC],,Sin mapear,EXT,2,106.5,103.55,107.5,10650.0,3.95,3.8146,3.1513,2029-08-25,75.08,False
CP38C,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,EXT,2,104.2,101.0,104.2,10420.0,3.2,3.1683,4.4107,2030-11-28,75.7,True
TSC4C,[TSC],,Sin mapear,EXT,2,104.15,103.9,104.1,10415.0,0.2,0.1925,9.3881,2035-11-20,84.9,False
YM37D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,104.1,103.9,106.85,10410.0,2.95,2.8393,0.8487,2027-05-07,76.52,True
YM43D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,2,101.35,100.85,101.4,10370.07,0.55,0.5454,3.7864,2030-04-14,85.21,True
CP37D,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,USD,2,100.95,100.0,100.95,10332.54,0.95,0.95,0.6899,2027-03-10,82.04,True
YM41D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,101.5,102.15,103.1,10197.5,0.95,0.93,0.5229,2027-01-08,81.15,True
ZZC1D,[ZZC],,Sin mapear,USD,2,104.25,103.9,104.4,10180.39,0.5,0.4812,0.6434,2027-02-21,85.4,False
GYC4D,[GYC],,Sin mapear,USD,2,102.0,100.1,101.1,10069.92,1.0,0.999,1.3306,2027-10-30,80.84,False
BGC4D,[BGC],,Sin mapear,USD,2,101.5,101.0,101.5,9997.57,0.5,0.495,0.3696,2026-11-13,83.0,False
HVS1D,[HVS],,Sin mapear,USD,2,103.5,103.6,104.0,9844.88,0.4,0.3861,2.0205,2028-07-08,84.8,False
PN42D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,2,103.5,103.35,103.6,9792.43,0.25,0.2419,0.794,2027-04-17,86.79,True
CS53D,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,USD,2,101.0,101.0,101.65,9544.41,0.65,0.6436,3.8303,2030-04-30,83.9,True
PQCTD,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,USD,2,105.0,104.7,105.3,9229.07,0.6,0.5731,2.0561,2028-07-21,82.85,True
TLCMC,Telecom Argentina S.A.,30639453738,Telecomunicaciones,EXT,2,112.95,112.95,113.1,9031.5,0.15,0.1328,5.0459,2031-07-18,86.23,True
PN36D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,1,108.0,106.95,108.95,9016.47,2.0,1.87,5.3689,2031-11-13,77.95,True
OTS3D,[OTS],,Sin mapear,USD,2,104.1,104.1,104.95,8962.83,0.85,0.8165,2.3381,2028-11-01,81.67,False
YM43D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,97.1,100.0,101.4,8738.57,1.4,1.4,3.7864,2030-04-14,80.0,True
PLC4D,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,USD,1,108.7,108.3,108.65,8702.0,0.35,0.3232,5.9138,2032-05-30,84.65,True
PNXCC,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,EXT,2,108.95,108.2,108.95,8695.0,0.75,0.6932,5.8316,2032-04-30,81.73,True
VBC2C,[VBC],,Sin mapear,EXT,1,100.5,0.0,0.0,8481.88,,,0.1807,2026-09-05,62.26,False
CAC5D,Capex S.A.,30629827060,Energía - Electricidad,USD,2,67.29,66.57,67.29,8399.26,0.72,1.0816,2.152,2028-08-25,81.88,True
PNXCD,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,2,112.3,112.05,112.3,7846.0,0.25,0.2231,5.8316,2032-04-30,85.55,True
RUCDD,CERAMICA RUTA 16 S.R.L.,30710080085,,USD,1,106.35,105.75,106.35,7734.1,0.6,0.5674,4.4298,2030-12-05,83.47,True
SBC2D,SAN BAUTISTA DEL SUR SA,30715659340,,USD,2,104.95,103.6,104.95,7603.5,1.35,1.3031,2.5462,2029-01-16,80.08,True
VBC2D,[VBC],,Sin mapear,USD,1,103.0,102.0,104.2,7531.14,2.2,2.1569,0.1807,2026-09-05,77.38,False
OTS2D,[OTS],,Sin mapear,USD,2,103.3,103.3,103.7,7352.47,0.4,0.3872,0.8131,2027-04-24,84.49,False
LMS7D,BLM DESARROLLOS SA,30718221516,,USD,2,87.27,87.27,87.98,7293.09,0.71,0.8136,2.2834,2028-10-12,81.63,True
GN48D,Genneia S.A.,30665234114,Energía - Renovable,USD,2,102.0,101.85,102.0,6920.28,0.15,0.1473,1.6783,2028-03-05,86.31,True
EAC4C,MSU GREEN ENERGY S.A.U.,30714155128,,EXT,2,99.55,99.5,99.65,6496.59,0.15,0.1508,9.9603,2036-06-16,87.16,True
YFCJD,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,1,107.2,107.05,108.2,6437.0,1.15,1.0743,6.2943,2032-10-16,79.2,True
EMC1D,[EMC],,Sin mapear,USD,2,106.1,106.1,107.0,5910.83,0.9,0.8483,1.0075,2027-07-04,80.96,False
JNC7D,[JNC],,Sin mapear,USD,2,100.0,100.0,0.0,5900.0,,,1.9849,2028-06-25,61.36,False
TLCMD,Telecom Argentina S.A.,30639453738,Telecomunicaciones,USD,1,116.45,116.4,116.7,5818.0,0.3,0.2577,5.0459,2031-07-18,84.5,True
RUCDC,CERAMICA RUTA 16 S.R.L.,30710080085,,EXT,2,104.15,102.5,104.15,5804.95,1.65,1.6098,4.4298,2030-12-05,79.92,True
IRCOD,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,USD,1,109.0,108.0,109.0,5760.46,1.0,0.9259,3.3128,2029-10-23,81.05,True
RC1CD,ARCOR S.A.I.C.,30502793175,,USD,1,111.9,110.05,114.9,5595.0,4.85,4.4071,7.0828,2033-07-31,74.2,True
VSCVD,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,USD,1,110.4,110.35,110.7,5523.5,0.35,0.3172,6.9432,2033-06-10,84.04,True
DNC5D,EDENOR S.A.,30655116202,,USD,1,108.8,108.8,109.5,5502.96,0.7,0.6434,2.0972,2028-08-05,81.77,True
VSCPD,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,USD,2,107.9,107.4,107.9,5199.94,0.5,0.4655,2.8392,2029-05-03,84.97,True
HJCID,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,USD,1,102.0,102.5,107.15,4896.0,4.65,4.5366,0.9035,2027-05-27,73.71,True
MTC2D,Mastellone Hermanos S.A.,30547242331,Alimentos - Lácteos,USD,2,101.85,101.1,101.85,4790.05,0.75,0.7418,1.9767,2028-06-22,82.05,True
TLCUD,Telecom Argentina S.A.,30639453738,Telecomunicaciones,USD,1,103.75,103.55,105.5,4781.35,1.95,1.8831,2.6776,2029-03-05,78.36,True
TLCPC,Telecom Argentina S.A.,30639453738,Telecomunicaciones,EXT,2,108.05,108.0,108.1,4651.46,0.1,0.0926,6.9076,2033-05-28,87.11,True
CACDD,Capex S.A.,30629827060,Energía - Electricidad,USD,2,102.6,101.15,102.4,4396.37,1.25,1.2358,2.9268,2029-06-04,78.32,True
YM41D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,2,102.9,102.65,102.9,4370.86,0.25,0.2435,0.5229,2027-01-08,86.07,True
ZPC3D,PLAZA LOGISTICA S.R.L.,30655942382,,USD,2,104.75,103.85,104.75,4312.47,0.9,0.8666,1.1745,2027-09-03,80.65,True
CACBD,Capex S.A.,30629827060,Energía - Electricidad,USD,2,101.2,100.0,101.0,4199.3,1.0,1.0,1.963,2028-06-17,80.02,True
YFCID,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,2,105.0,103.05,105.0,4199.01,1.95,1.8923,0.95,2027-06-13,78.66,True
EAC3D,MSU GREEN ENERGY S.A.U.,30714155128,,USD,2,101.6,100.8,101.6,4159.05,0.8,0.7937,2.4723,2028-12-20,81.71,True
LDCGD,[LDC],,Sin mapear,USD,2,100.05,100.1,100.95,4105.39,0.85,0.8492,1.2594,2027-10-04,81.23,False
CS47D,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,USD,1,109.5,103.35,108.45,4035.81,5.1,4.9347,2.3765,2028-11-15,73.8,True
MIC4D,MIRGOR S.A.,30578036071,,USD,2,102.5,102.5,103.3,3915.08,0.8,0.7805,1.076,2027-07-29,81.42,True
MSSGD,MSU S.A.,30607597193,Energía,USD,2,103.5,102.1,103.35,3734.75,1.25,1.2243,2.7926,2029-04-16,79.04,True
MGCED,Pampa Energía S.A.,30526552659,Energía - Electricidad,USD,2,101.0,97.06,101.0,3686.22,3.94,4.0593,1.4675,2027-12-19,75.25,True
ZPC2D,PLAZA LOGISTICA S.R.L.,30655942382,,USD,2,101.75,102.5,107.5,3650.79,5.0,4.878,0.9199,2027-06-02,74.45,True
PECND,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,USD,2,67.3,67.3,67.94,3557.85,0.64,0.951,6.152,2032-08-25,79.99,True
YMCID,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,92.0,91.84,92.02,3460.87,0.18,0.196,3.0034,2029-07-02,85.81,True
CP36D,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,USD,2,101.5,100.0,101.5,3456.08,1.5,1.5,1.2758,2027-10-10,77.91,True
GN47D,Genneia S.A.,30665234114,Energía - Renovable,USD,2,103.1,102.65,103.1,3454.91,0.45,0.4384,2.2971,2028-10-17,84.27,True
PN43D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,1,110.5,110.55,111.3,3319.0,0.75,0.6784,10.5435,2037-01-15,80.92,True
VSCOD,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,USD,1,108.6,106.55,0.0,3258.0,,,0.679,2027-03-06,61.86,True
CS44O,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,ARS,1,159010.0,157910.0,164240.0,3180.2,6330.0,4.0086,0.5476,2027-01-17,73.46,True
DNC7D,EDENOR S.A.,30655116202,,USD,1,108.55,108.55,109.15,3148.25,0.6,0.5527,4.3149,2030-10-24,82.25,True
OTS6D,[OTS],,Sin mapear,USD,1,104.6,103.35,105.45,3138.0,2.1,2.0319,3.0773,2029-07-29,75.61,False
VBC1D,[VBC],,Sin mapear,USD,2,103.95,103.95,104.2,3118.5,0.25,0.2405,0.6927,2027-03-11,83.02,False
TLCVD,Telecom Argentina S.A.,30639453738,Telecomunicaciones,USD,1,105.0,100.05,103.5,3096.73,3.45,3.4483,0.909,2027-05-29,74.41,True
YFCOD,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,2,107.5,107.1,107.5,3068.69,0.4,0.3735,2.4586,2028-12-15,83.65,True
PN38D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,2,108.05,108.2,108.85,3035.59,0.65,0.6007,1.1116,2027-08-11,82.71,True
HJCLD,John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,USD,2,100.5,100.05,100.5,2986.0,0.45,0.4498,2.4339,2028-12-06,82.39,True
T641D,Tarjeta Naranja S.A.,30685376349,Financiero - Crédito Consumo,USD,2,103.75,103.8,104.6,2956.88,0.8,0.7707,0.8296,2027-04-30,79.12,True
PFC2D,PATAGONIA FRUITS TRADE S.A,30690967541,,USD,2,106.65,105.9,106.65,2904.05,0.75,0.7082,1.0349,2027-07-14,81.12,True
PQCSD,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,USD,1,107.9,105.6,107.9,2884.72,2.3,2.178,4.6324,2031-02-17,77.19,True
ZPC1O,PLAZA LOGISTICA S.R.L.,30655942382,,ARS,2,100.0,100.0,108.0,2779.33,8.0,8.0,0.4216,2026-12-02,72.63,True
MCC2D,[MCC],,Sin mapear,USD,2,102.5,102.0,102.5,2736.76,0.5,0.4902,0.9227,2027-06-03,82.74,False
MCC3D,[MCC],,Sin mapear,USD,1,101.2,100.65,101.15,2678.76,0.5,0.4968,3.8604,2030-05-11,81.8,False
YM42D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,104.55,104.7,105.25,2648.26,0.55,0.5253,2.6694,2029-03-02,82.61,True
RZBCD,RIZOBACTER ARGENTINA S.A.,30593174057,,USD,2,66.5,66.0,66.5,2557.44,0.5,0.7576,3.1759,2029-09-03,80.74,True
TSC4D,[TSC],,Sin mapear,USD,1,108.2,107.2,107.75,2174.0,0.55,0.5131,9.3881,2035-11-20,81.31,False
PLC5D,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,USD,1,107.4,107.25,107.85,2148.0,0.6,0.5594,4.8789,2031-05-18,81.02,True
TLCQD,Telecom Argentina S.A.,30639453738,Telecomunicaciones,USD,1,104.75,104.75,107.9,2086.62,3.15,3.0072,1.0021,2027-07-02,75.19,True
BYCVD,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,USD,2,103.2,103.35,104.25,2064.0,0.9,0.8708,0.167,2026-08-31,78.32,True
VSCRD,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,USD,1,108.65,108.45,108.65,1970.73,0.2,0.1844,5.2758,2031-10-10,85.77,True
PLC6D,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,USD,1,105.0,104.85,106.0,1851.15,1.15,1.0968,2.6612,2029-02-27,78.67,True
MIC3D,MIRGOR S.A.,30578036071,,USD,2,101.75,101.5,101.75,1812.06,0.25,0.2463,0.3641,2026-11-11,83.4,True
MR46D,Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,USD,1,84.6,84.05,86.96,1692.0,2.91,3.4622,8.501,2034-12-31,72.77,True
OT41D,[OT4],,Sin mapear,USD,2,103.0,103.05,104.0,1690.54,0.95,0.9219,1.5469,2028-01-17,78.81,False
RUCED,CERAMICA RUTA 16 S.R.L.,30710080085,,USD,1,101.5,100.95,101.5,1619.0,0.55,0.5448,1.3306,2027-10-30,81.31,True
IRCJO,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,ARS,1,161400.0,157550.0,161400.0,1614.0,3850.0,2.4437,0.6626,2027-02-28,74.19,True
MIC4O,MIRGOR S.A.,30578036071,,ARS,1,156000.0,155250.0,161300.0,1560.0,6050.0,3.8969,1.076,2027-07-29,72.38,True
YFCID,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,1,104.5,103.0,104.5,1552.87,1.5,1.4563,0.95,2027-06-13,77.64,True
AFCHD,Banco Comafi S.A.,30604731018,Financiero - Bancos,USD,2,102.9,0.0,103.8,1499.25,,,0.1342,2026-08-19,59.43,True
IRCJD,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,USD,2,104.9,104.15,104.9,1421.11,0.75,0.7201,0.6626,2027-02-28,80.82,True
MGCND,Pampa Energía S.A.,30526552659,Energía - Electricidad,USD,1,105.0,103.25,104.95,1413.45,1.7,1.6465,2.2615,2028-10-04,77.15,True
LUC5D,[LUC],,Sin mapear,USD,2,103.0,102.4,103.0,1405.96,0.6,0.5859,2.6585,2029-02-26,81.06,False
MSSED,MSU S.A.,30607597193,Energía,USD,2,105.7,105.7,106.55,1397.61,0.85,0.8042,0.0438,2026-07-17,79.52,True
YFCLD,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,2,104.7,103.85,105.15,1381.3,1.3,1.2518,2.3929,2028-11-21,78.47,True
PN35D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,1,107.6,106.2,107.6,1350.06,1.4,1.3183,3.2416,2029-09-27,76.9,True
GYC5D,[GYC],,Sin mapear,USD,2,101.4,100.5,101.4,1319.17,0.9,0.8955,1.18,2027-09-05,78.72,False
DNCAD,EDENOR S.A.,30655116202,,USD,1,105.6,105.05,105.6,1266.65,0.55,0.5236,6.8255,2033-04-28,81.12,True
RC2CD,ARCOR S.A.I.C.,30502793175,,USD,2,102.8,102.25,102.6,1227.7,0.35,0.3423,0.2656,2026-10-06,82.33,True
BPCUD,Banco Supervielle S.A.,33500005179,Financiero - Bancos,USD,2,101.5,100.65,0.0,1218.0,,,0.4271,2026-12-04,59.19,True
YMCZD,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,2,108.25,105.5,108.25,1210.27,2.75,2.6066,2.2779,2028-10-10,75.02,True
CIC7D,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,USD,2,100.35,100.35,104.0,1188.98,3.65,3.6373,0.3669,2026-11-12,73.13,True
SBC1O,SAN BAUTISTA DEL SUR SA,30715659340,,ARS,1,113950.0,111500.0,0.0,1139.5,,,1.18,2027-09-05,59.12,True
PFC3D,PATAGONIA FRUITS TRADE S.A,30690967541,,USD,2,100.7,100.7,101.45,1115.76,0.75,0.7448,3.3566,2029-11-08,78.41,True
RC2CD,ARCOR S.A.I.C.,30502793175,,USD,1,100.0,102.1,107.0,1100.02,4.9,4.7992,0.2656,2026-10-06,71.95,True
DNC3D,EDENOR S.A.,30655116202,,USD,1,102.1,102.4,102.9,1059.8,0.5,0.4883,0.3943,2026-11-22,80.28,True
ARC1C,Aeropuertos Argentina 2000 S.A.,30696170580,Infraestructura - Aeropuertos,EXT,2,104.8,104.95,105.25,1048.0,0.3,0.2859,5.0842,2031-08-01,81.66,True
RZBBD,RIZOBACTER ARGENTINA S.A.,30593174057,,USD,2,65.5,63.1,65.5,1037.81,2.4,3.8035,3.1759,2029-09-03,73.73,True
GN49C,Genneia S.A.,30665234114,Energía - Renovable,EXT,2,102.9,102.4,102.9,1029.0,0.5,0.4883,7.4223,2033-12-02,80.21,True
YMCXC,YPF S.A.,30546689979,Energía - Petróleo y Gas,EXT,1,109.9,109.1,109.9,1024.43,0.8,0.7333,5.1964,2031-09-11,79.56,True
CIC8D,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,USD,2,101.5,99.5,101.3,908.98,1.8,1.809,2.3682,2028-11-12,75.85,True
TTC8D,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,USD,1,103.5,102.2,103.15,819.72,0.95,0.9295,1.3142,2027-10-24,77.19,True
TTCBD,Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,USD,2,104.55,104.55,105.0,817.21,0.45,0.4304,1.2923,2027-10-16,82.18,True
OLC7C,OLEODUCTOS DEL VALLE S.A.,30658840165,,EXT,2,102.35,99.24,102.3,764.88,3.06,3.0834,3.6496,2030-02-23,73.44,True
VSCRC,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,EXT,2,105.25,104.75,105.15,761.56,0.4,0.3819,5.2758,2031-10-10,81.81,True
OLC5D,OLEODUCTOS DEL VALLE S.A.,30658840165,,USD,1,104.5,105.15,107.5,721.08,2.35,2.2349,1.9493,2028-06-12,75.22,True
YFCGD,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,2,102.6,102.6,103.5,682.62,0.9,0.8772,0.6598,2027-02-27,79.27,True
IRCQD,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,USD,2,99.01,99.01,100.1,669.29,1.09,1.1009,0.9363,2027-06-08,78.19,True
YM35D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,102.45,102.7,103.85,665.97,1.15,1.1198,0.6598,2027-02-27,76.93,True
IRCFD,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,USD,1,50.6,50.62,51.3,619.28,0.68,1.3433,1.9767,2028-06-22,77.16,True
ZZC1D,[ZZC],,Sin mapear,USD,1,104.25,103.8,104.5,569.63,0.7,0.6744,0.6434,2027-02-21,79.16,False
MGCED,Pampa Energía S.A.,30526552659,Energía - Electricidad,USD,1,99.4,96.72,0.0,523.38,,,1.4675,2027-12-19,59.22,True
PECNC,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,EXT,2,65.1,64.58,65.96,504.53,1.38,2.1369,6.152,2032-08-25,74.49,True
IRCJD,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,USD,1,103.5,104.0,106.5,435.74,2.5,2.4038,0.6626,2027-02-28,73.37,True
PNDCC,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,EXT,2,41.473,40.903,41.543,414.73,0.64,1.5647,0.8296,2027-04-30,75.03,True
PN34C,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,EXT,2,100.05,99.69,100.3,346.24,0.61,0.6119,1.2402,2027-09-27,79.87,True
FYC1D,[FYC],,Sin mapear,USD,2,101.8,102.0,102.5,330.85,0.5,0.4902,2.8611,2029-05-11,79.74,False
YFCND,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,1,104.0,101.05,104.0,324.48,2.95,2.9193,0.2574,2026-10-03,73.02,True
DEC2D,Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,USD,1,103.0,102.0,103.0,315.18,1.0,0.9804,0.6516,2027-02-24,77.17,True
DNC5C,EDENOR S.A.,30655116202,,EXT,2,106.7,0.0,106.7,311.85,,,2.0972,2028-08-05,59.66,True
SNEAD,SION S.A.,30690076043,,USD,2,62.0,57.7,62.0,300.08,4.3,7.4523,3.0363,2029-07-14,70.99,True
SXC4D,MERCADO PAGO SERVICIOS DE PROCESAMIENTO S.R.L.,30716999498,,USD,2,99.42,99.42,100.0,283.35,0.58,0.5834,0.1697,2026-09-01,79.02,True
YMCIC,YPF S.A.,30546689979,Energía - Petróleo y Gas,EXT,1,92.0,0.0,92.0,282.44,,,3.0034,2029-07-02,59.59,True
EAC4D,MSU GREEN ENERGY S.A.U.,30714155128,,USD,1,102.8,101.7,102.8,275.68,1.1,1.0816,9.9603,2036-06-16,76.69,True
PLC3D,Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,USD,1,107.05,107.05,109.35,269.89,2.3,2.1485,1.8316,2028-04-30,75.8,True
GN43D,Genneia S.A.,30665234114,Energía - Renovable,USD,2,104.0,101.35,104.0,249.59,2.65,2.6147,0.6845,2027-03-08,74.16,True
TLCOC,Telecom Argentina S.A.,30639453738,Telecomunicaciones,EXT,2,101.45,99.58,101.4,240.44,1.82,1.8277,2.412,2028-11-28,74.8,True
TLCTC,Telecom Argentina S.A.,30639453738,Telecomunicaciones,EXT,1,108.0,108.3,108.7,229.04,0.4,0.3693,9.5551,2036-01-20,80.94,True
OLC7D,OLEODUCTOS DEL VALLE S.A.,30658840165,,USD,1,103.8,104.4,105.6,227.32,1.2,1.1494,3.6496,2030-02-23,76.35,True
YMCYD,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,105.0,104.0,105.4,219.45,1.4,1.3462,2.2779,2028-10-10,75.2,True
SBC3D,SAN BAUTISTA DEL SUR SA,30715659340,,USD,2,100.95,100.1,101.15,217.04,1.05,1.049,2.9021,2029-05-26,76.06,True
VAC3D,[VAC],,Sin mapear,USD,2,100.8,60.01,101.0,181.44,40.99,68.3053,1.3224,2027-10-27,69.21,False
TLCWD,Telecom Argentina S.A.,30639453738,Telecomunicaciones,USD,1,101.15,98.5,101.2,151.73,2.7,2.7411,3.9097,2030-05-29,72.45,True
YM39D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,114.05,113.75,114.5,144.82,0.75,0.6593,4.0575,2030-07-22,78.78,True
LOC6D,[LOC],,Sin mapear,USD,1,105.0,104.6,106.3,140.57,1.7,1.6252,2.5654,2029-01-23,75.63,False
EMC1D,[EMC],,Sin mapear,USD,1,106.1,106.1,107.2,117.77,1.1,1.0368,1.0075,2027-07-04,76.56,False
YFCLC,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,EXT,2,103.95,100.0,102.35,109.15,2.35,2.35,2.3929,2028-11-21,73.5,True
OT42D,[OT4],,Sin mapear,USD,1,108.95,108.5,109.5,108.95,1.0,0.9217,3.5483,2030-01-17,76.43,False
LUC5D,[LUC],,Sin mapear,USD,1,103.0,102.0,103.0,107.12,1.0,0.9804,2.6585,2029-02-26,76.7,False
VSCPD,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,USD,1,110.0,107.6,108.25,102.3,0.65,0.6041,2.8392,2029-05-03,78.45,True
OZC3C,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,EXT,2,100.7,97.36,100.7,96.68,3.34,3.4306,1.4127,2027-11-29,72.21,True
YM34C,YPF S.A.,30546689979,Energía - Petróleo y Gas,EXT,1,109.0,108.4,109.0,90.47,0.6,0.5535,7.5483,2034-01-17,78.77,True
PN41D,Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,USD,1,110.0,108.85,111.6,85.8,2.75,2.5264,3.1567,2029-08-27,72.51,True
VBC2D,[VBC],,Sin mapear,USD,2,103.05,103.05,103.7,85.53,0.65,0.6308,0.1807,2026-09-05,78.16,False
YMCYC,YPF S.A.,30546689979,Energía - Petróleo y Gas,EXT,2,100.35,100.35,104.3,62.26,3.95,3.9362,2.2779,2028-10-10,71.32,True
DNC3C,EDENOR S.A.,30655116202,,EXT,2,102.0,99.0,102.0,60.18,3.0,3.0303,0.3943,2026-11-22,72.16,True
PQCSC,Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,EXT,2,105.7,100.0,105.7,58.38,5.7,5.7,4.6324,2031-02-17,70.3,True
YFCGD,YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,USD,1,101.0,101.0,105.0,56.56,4.0,3.9604,0.6598,2027-02-27,70.67,True
TLCPC,Telecom Argentina S.A.,30639453738,Telecomunicaciones,EXT,1,108.1,107.4,108.1,41.08,0.7,0.6518,6.9076,2033-05-28,77.93,True
CLI1D,[CLI],,Sin mapear,USD,2,32.2,30.02,33.3,38.32,3.28,10.926,8.4435,2034-12-10,68.71,False
RVS1O,[RVS],,Sin mapear,ARS,1,52.57,47.0,52.57,25.76,5.57,11.8511,0.6598,2027-02-27,68.67,False
LMS7C,BLM DESARROLLOS SA,30718221516,,EXT,2,85.71,84.85,85.43,16.28,0.58,0.6836,2.2834,2028-10-12,77.54,True
CS48D,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,USD,1,108.15,108.1,109.6,11.9,1.5,1.3876,2.0287,2028-07-11,74.56,True
VSCRC,Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,EXT,1,106.0,0.0,107.0,11.66,,,5.2758,2031-10-10,57.69,True
RC3CD,Arcor S.A.I.C.,30502793175,Consumo - Alimentos,USD,2,0.067,0.064,0.068,11.55,0.004,6.25,0.4572,2026-12-15,69.87,True
CS44C,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,EXT,2,103.05,99.51,103.05,10.31,3.54,3.5574,0.5476,2027-01-17,70.77,True
YM38D,YPF S.A.,30546689979,Energía - Petróleo y Gas,USD,1,105.75,104.8,105.6,7.4,0.8,0.7634,1.0568,2027-07-22,76.85,True
IRCFC,IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,EXT,2,49.854,0.0,0.0,5.48,,,1.9767,2028-06-22,57.59,True
